image_path,instruction,description,input
009263.jpg,Provide a detailed and accurate description of the image within 50 words.,"A man sits in a chair, working at a desk. In the background, there is a massage chair, a lounger, and a shelf stocked with packages. The room has tiled floors and a wooden paneled wall.  A stack of white packages sit on a shelf near the massage chair.","label_boundingbox:{chair: {'xyxy': {'Left': 248, 'Top': 170, 'Right': 381, 'Bottom': 375}},sofa: {'xyxy': {'Left': 242, 'Top': 94, 'Right': 450, 'Bottom': 232}},person: {'xyxy': {'Left': 0, 'Top': 90, 'Right': 120, 'Bottom': 372}}},
caption:a man sitting in a chair in a room.,
image_embedding:[1.47, -0.21, 0.03, -0.79, 0.92, -0.05, -0.24, 0.87, 0.23, -0.2, 0.38, 1.06, -0.44, -0.21, 0.36, 0.54, 0.12, 0.07, 0.55, -0.17, 0.24, -0.62, -0.6, 0.78, -0.25, 0.05, -0.19, 0.6, 0.32, 0.08, 0.7, 0.39, -0.09, -0.51, 0.65, -0.78, -0.72, -0.04, 0.26, 0.54, -0.65, -0.53, -0.57, -0.53, -1.55, 0.05, 0.65, 0.4, 1.17, 0.49, 0.07, 0.01, -0.14, -0.46, -0.23, 0.89, -0.0, 0.21, 0.72, -0.22, -0.53, 1.65, 0.65, 0.56]"
003348.jpg,Provide a detailed and accurate description of the image within 50 words.,A silver SUV is parked on the street in front of a row of brick buildings. There is a large green tree in the background. There are other cars parked on the street and some of the stores have awnings.,"label_boundingbox:{car: {'xyxy': {'Left': 162, 'Top': 226, 'Right': 432, 'Bottom': 354}}},
caption:a car parked on the side of the road.,
image_embedding:[-1.01, -0.07, 1.05, 0.56, -0.64, -0.18, -0.0, -0.54, 0.13, -0.26, 0.0, 0.29, -0.25, 0.84, -0.39, 0.15, -0.71, 0.45, -0.08, 0.35, -0.25, 0.21, 0.05, 0.05, -0.04, 0.27, 0.05, -1.22, -0.86, -0.29, -1.12, 0.59, -0.96, 1.27, -0.46, -1.29, 0.99, -0.82, 0.04, 0.21, -0.03, 1.07, -0.55, 0.11, -4.45, 0.36, -0.56, -0.35, -0.01, 0.37, 0.09, 0.5, -0.11, -0.05, -0.23, -0.06, 0.57, -0.2, -0.06, -0.07, 0.36, 0.27, 0.21, -0.01]"
006454.jpg,Provide a detailed and accurate description of the image within 50 words.,A maroon Chevrolet Corvette with custom flames paint job and the Daytona 500 logo is shown in a studio shot.  The car is angled towards the right with the driver's side in full view.  The background is a simple white.,"label_boundingbox:{car: {'xyxy': {'Left': 28, 'Top': 135, 'Right': 475, 'Bottom': 294}}},
caption:a red sports car,
image_embedding:[-1.04, -0.08, -0.75, 0.17, -0.97, 0.58, -0.55, -0.2, -0.48, -0.7, 0.87, -0.26, -0.32, -0.5, -0.8, 0.04, 0.58, 0.59, -0.49, 0.32, 0.42, 0.64, 0.67, -0.52, 0.57, 0.05, 0.06, -0.0, -0.11, -0.27, 0.47, -0.07, 0.05, -0.22, 0.7, 0.34, -0.51, 0.17, 0.43, 0.02, 0.13, 0.67, 0.38, -0.51, -4.32, -0.22, -0.01, -0.07, 0.37, -0.64, -0.32, -0.3, 0.02, 0.79, 0.7, 0.48, 0.29, -0.27, 0.51, 0.34, 0.13, 1.05, 0.36, 0.32]"
005775.jpg,Provide a detailed and accurate description of the image within 50 words.,A white and red rally car kicks up a cloud of dust as it rounds a corner on a dirt track. the car is emblazoned with the words Simpson Motors and Helix. the car is a Suzuki Swift.  The driver is wearing a helmet and a racing suit.,"label_boundingbox:{person: {'xyxy': {'Left': 115, 'Top': 130, 'Right': 180, 'Bottom': 173}},car: {'xyxy': {'Left': 51, 'Top': 88, 'Right': 303, 'Bottom': 283}}},
caption:a car,
image_embedding:[-0.01, -0.42, -0.09, 0.01, 0.95, -0.02, 0.01, 0.25, -0.02, 0.02, -0.01, -0.56, 0.46, -0.56, -0.14, -0.06, 0.57, -0.95, 1.18, -0.22, -0.16, -0.67, -0.57, 0.03, 0.1, -0.0, -0.23, -0.02, -0.69, 0.6, -0.28, -0.25, -0.47, -0.78, 0.67, 0.31, 0.42, -0.12, 0.08, -0.23, -0.57, 0.25, -0.37, 1.22, -4.1, -0.45, 0.25, -0.55, -0.1, 0.43, -0.52, 0.09, -0.28, -0.49, -0.41, -0.79, 0.2, -0.24, 0.1, -0.61, 0.11, 0.1, -0.01, -0.08]"
008354.jpg,Provide a detailed and accurate description of the image within 50 words.,"A rider in a blue jacket rides a grey horse through a shallow stream, surrounded by lush greenery. The horse is splashing water, creating a blurry and dynamic scene.  The rider is concentrating, looking forward as they navigate the watery obstacle.  The sunlight shines on the water, making it sparkle.","label_boundingbox:{person: {'xyxy': {'Left': 185, 'Top': 45, 'Right': 252, 'Bottom': 215}},horse: {'xyxy': {'Left': 79, 'Top': 83, 'Right': 355, 'Bottom': 271}}},
caption:a person riding a horse through a river.,
image_embedding:[-0.11, -0.34, -0.03, 0.02, 0.77, 0.29, 0.61, -0.42, 0.22, -0.52, 0.09, 0.55, 0.14, -0.39, 0.66, 0.06, 0.03, 0.16, 0.1, -1.15, 1.22, 0.16, -0.58, -0.16, -0.04, -0.16, 0.95, -0.25, -0.49, 0.78, -0.32, 0.85, -0.33, 0.7, -0.46, -0.08, 0.72, 0.01, 1.17, 0.14, -0.0, -0.02, -0.04, -0.44, -4.57, -0.02, 0.55, -0.15, 0.22, 0.53, -0.01, 0.01, -0.28, 0.63, 0.5, -0.41, -1.03, 0.02, -0.36, -1.18, -0.55, -0.04, -0.49, -0.31]"
009297.jpg,Provide a detailed and accurate description of the image within 50 words.,"A group of friends gather around a table laden with food and drink for a holiday celebration. A man in a grey sweater looks at the camera while holding a plate with a slice of ham. The table is covered in festive decorations, and guests are enjoying themselves.","label_boundingbox:{person: {'xyxy': {'Left': 98, 'Top': 68, 'Right': 303, 'Bottom': 344}},bottle: {'xyxy': {'Left': 324, 'Top': 151, 'Right': 358, 'Bottom': 242}},diningtable: {'xyxy': {'Left': 161, 'Top': 154, 'Right': 500, 'Bottom': 375}}},
caption:a group of people sitting at a table.,
image_embedding:[1.16, 0.35, 0.43, 1.01, -0.1, -0.38, -0.35, -0.34, 0.64, -0.27, -0.0, -0.58, -0.43, -0.69, 0.71, 0.31, -0.62, 0.28, -0.17, 0.59, 0.71, -0.47, -0.34, 0.32, -0.28, -0.41, -0.03, 0.44, -0.26, 0.23, -0.61, 0.59, -0.16, -0.53, -0.31, -0.7, 0.05, -0.11, 0.02, 0.44, 0.9, 1.08, 0.26, 0.08, -2.36, -0.43, -0.58, -0.55, 0.29, -0.58, 0.23, -0.31, 0.52, 0.39, -0.03, -0.47, 0.13, -0.08, 0.36, 0.16, 0.15, 0.8, -0.38, -0.73]"
005628.jpg,Provide a detailed and accurate description of the image within 50 words.,"A table set for dinner with several plates of food, including a large dish of chicken and dumplings. A lit candle and multiple glasses of water and wine are on the table. The table has a marble-like surface.","label_boundingbox:{sofa: {'xyxy': {'Left': 393, 'Top': 0, 'Right': 500, 'Bottom': 159}},person: {'xyxy': {'Left': 118, 'Top': 0, 'Right': 342, 'Bottom': 75}},diningtable: {'xyxy': {'Left': 0, 'Top': 45, 'Right': 500, 'Bottom': 374}}},
caption:a table set for a meal.,
image_embedding:[1.08, 0.43, 0.42, 1.14, -0.32, -0.9, -0.62, 0.53, 0.41, -0.35, -0.04, -0.94, -0.23, -0.92, 0.58, 0.4, 0.25, -0.19, 0.17, -0.41, 0.24, -0.79, 0.22, 0.1, -1.57, -0.04, -0.13, 0.33, -0.96, -0.35, 0.37, 0.6, 0.11, 0.48, -0.08, -0.2, 0.75, 0.3, -0.68, 0.72, -0.09, 1.77, 0.3, -0.09, -2.48, -0.37, -0.1, -0.53, -0.06, -1.35, -1.14, -0.37, -1.02, -0.48, 0.45, -0.85, 0.4, -0.38, 0.15, -0.05, -0.25, 0.12, 0.7, -0.0]"
005532.jpg,Provide a detailed and accurate description of the image within 50 words.,"A group of young swans swim in a calm lake. They are a light brown with white and are surrounded by tall reeds that line the shore. One of the swans is swimming with its head out of the water, looking for food.","label_boundingbox:{bird: {'xyxy': {'Left': 149, 'Top': 199, 'Right': 296, 'Bottom': 278}}},
caption:some ducks in the water.,
image_embedding:[-0.16, 0.01, 0.55, -0.88, -0.23, 0.02, 0.73, 0.28, -0.48, 0.65, 0.23, -0.62, -0.65, 0.02, -0.73, -0.18, -0.32, 0.03, -0.01, 0.56, 0.18, -0.22, 0.18, 0.08, -1.21, 0.79, -1.12, -0.88, 1.07, -0.37, 0.9, -0.78, 0.16, -0.58, 0.05, -0.43, 1.06, -0.4, 0.45, -0.67, -0.43, 0.62, 0.58, 0.21, -2.84, -0.59, 0.47, 0.17, 0.53, -0.21, 0.13, 1.05, 0.07, -0.36, -0.49, -0.84, -1.43, -0.21, -0.1, -0.17, 0.38, 0.2, 0.02, 0.4]"
008165.jpg,Provide a detailed and accurate description of the image within 50 words.,"A vintage Japanese train sits at a station, the sun reflecting off the windows of the train. The train has an off-white body with a maroon stripe and an older design aesthetic. The train is parked under a covered awning.","label_boundingbox:{train: {'xyxy': {'Left': 0, 'Top': 69, 'Right': 361, 'Bottom': 300}}},
caption:a train at a train station.,
image_embedding:[0.13, -0.24, 0.01, -0.31, 0.78, -0.82, 0.13, -0.42, 0.33, -0.19, 0.04, 0.21, -0.08, -0.59, 0.52, -0.12, 0.47, 0.57, -0.04, 0.0, 0.15, 0.07, -0.3, 0.11, -1.03, 0.28, 0.14, -0.29, -0.48, 0.45, -0.08, -1.06, -0.28, 0.38, -0.2, -0.97, 0.53, 0.01, 0.55, 0.15, 0.19, 0.18, -0.04, -0.11, -2.35, 0.34, -0.29, -0.37, -0.36, -0.13, -0.33, -0.34, -1.32, 0.17, -0.18, 0.51, 0.62, -0.12, -0.13, 0.19, -0.09, 0.12, 0.59, -0.49]"
006596.jpg,Provide a detailed and accurate description of the image within 50 words.,"A ginger tabby cat lies down on a couch, with a grey cat nestled behind it. The ginger cat is looking at the camera with its big green eyes.  Both cats are looking relaxed and content.","label_boundingbox:{cat: {'xyxy': {'Left': 6, 'Top': 119, 'Right': 500, 'Bottom': 374}}},
caption:two cats laying on a couch.,
image_embedding:[0.75, -0.32, 0.01, -0.15, 0.66, -0.31, 0.46, -0.25, -0.13, -0.3, -0.11, -0.71, -0.64, -0.83, -0.93, -0.35, 0.66, 1.06, -0.62, -0.51, -0.17, -0.96, -0.25, -0.59, -0.06, 0.14, -0.37, 0.6, -0.36, -0.32, 0.56, 0.71, -0.86, 0.81, 0.16, -0.23, 0.31, 0.46, 0.1, -0.72, 0.47, 0.39, 0.3, 0.1, -2.85, -0.42, -1.09, -0.04, 0.14, 0.01, 0.32, 0.3, -0.56, 0.51, 0.68, 0.17, -0.66, 0.09, 0.02, -0.7, -0.08, 0.67, 0.21, -0.27]"
